# BPC league hero stats — league 19721
heroId,heroName,picks,bans,wins,losses,games,pickRate,banRate,winRate,contestRate
1,Anti-Mage,1,1,1,0,1,0.02857142857142857,0.02857142857142857,1,0.05714285714285714
2,Axe,8,6,5,3,8,0.22857142857142856,0.17142857142857143,0.625,0.4
3,Bane,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
4,Bloodseeker,1,1,1,0,1,0.02857142857142857,0.02857142857142857,1,0.05714285714285714
6,Drow Ranger,6,3,5,1,6,0.17142857142857143,0.08571428571428572,0.8333333333333334,0.2571428571428571
7,Earthshaker,2,0,1,1,2,0.05714285714285714,0,0.5,0.05714285714285714
8,Juggernaut,6,8,2,4,6,0.17142857142857143,0.22857142857142856,0.3333333333333333,0.4
10,Morphling,0,1,0,0,0,0,0.02857142857142857,,0.02857142857142857
11,Shadow Fiend,5,3,3,2,5,0.14285714285714285,0.08571428571428572,0.6,0.22857142857142856
12,Phantom Lancer,3,4,0,3,3,0.08571428571428572,0.11428571428571428,0,0.2
13,Puck,2,12,2,0,2,0.05714285714285714,0.34285714285714286,1,0.4
14,Pudge,2,6,1,1,2,0.05714285714285714,0.17142857142857143,0.5,0.22857142857142856
15,Razor,2,6,2,0,2,0.05714285714285714,0.17142857142857143,1,0.22857142857142856
16,Sand King,0,2,0,0,0,0,0.05714285714285714,,0.05714285714285714
17,Storm Spirit,3,3,0,3,3,0.08571428571428572,0.08571428571428572,0,0.17142857142857143
18,Sven,1,0,1,0,1,0.02857142857142857,0,1,0.02857142857142857
19,Tiny,5,0,3,2,5,0.14285714285714285,0,0.6,0.14285714285714285
20,Vengeful Spirit,7,5,4,3,7,0.2,0.14285714285714285,0.5714285714285714,0.34285714285714286
21,Windranger,2,0,0,2,2,0.05714285714285714,0,0,0.05714285714285714
22,Zeus,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
25,Lina,4,11,3,1,4,0.11428571428571428,0.3142857142857143,0.75,0.42857142857142855
26,Lion,10,3,5,5,10,0.2857142857142857,0.08571428571428572,0.5,0.37142857142857144
27,Shadow Shaman,12,6,8,4,12,0.34285714285714286,0.17142857142857143,0.6666666666666666,0.5142857142857142
28,Slardar,11,15,7,4,11,0.3142857142857143,0.42857142857142855,0.6363636363636364,0.7428571428571429
29,Tidehunter,6,6,3,3,6,0.17142857142857143,0.17142857142857143,0.5,0.34285714285714286
30,Witch Doctor,5,2,2,3,5,0.14285714285714285,0.05714285714285714,0.4,0.19999999999999998
31,Lich,15,9,9,5,14,0.42857142857142855,0.2571428571428571,0.6428571428571429,0.6857142857142857
32,Riki,2,1,1,1,2,0.05714285714285714,0.02857142857142857,0.5,0.08571428571428572
35,Sniper,1,1,0,1,1,0.02857142857142857,0.02857142857142857,0,0.05714285714285714
36,Necrophos,2,4,0,2,2,0.05714285714285714,0.11428571428571428,0,0.17142857142857143
37,Warlock,1,1,1,0,1,0.02857142857142857,0.02857142857142857,1,0.05714285714285714
38,Beastmaster,0,5,0,0,0,0,0.14285714285714285,,0.14285714285714285
39,Queen of Pain,8,18,2,6,8,0.22857142857142856,0.5142857142857142,0.25,0.7428571428571428
41,Faceless Void,9,10,4,5,9,0.2571428571428571,0.2857142857142857,0.4444444444444444,0.5428571428571428
42,Wraith King,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
43,Death Prophet,2,0,1,1,2,0.05714285714285714,0,0.5,0.05714285714285714
45,Pugna,1,1,0,1,1,0.02857142857142857,0.02857142857142857,0,0.05714285714285714
46,Templar Assassin,1,1,0,1,1,0.02857142857142857,0.02857142857142857,0,0.05714285714285714
47,Viper,1,9,0,1,1,0.02857142857142857,0.2571428571428571,0,0.2857142857142857
48,Luna,2,0,2,0,2,0.05714285714285714,0,1,0.05714285714285714
51,Clockwerk,3,0,2,1,3,0.08571428571428572,0,0.6666666666666666,0.08571428571428572
52,Leshrac,1,0,1,0,1,0.02857142857142857,0,1,0.02857142857142857
54,Lifestealer,6,24,2,4,6,0.17142857142857143,0.6857142857142857,0.3333333333333333,0.8571428571428572
59,Huskar,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
60,Night Stalker,8,11,5,3,8,0.22857142857142856,0.3142857142857143,0.625,0.5428571428571428
63,Weaver,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
64,Jakiro,4,1,1,3,4,0.11428571428571428,0.02857142857142857,0.25,0.14285714285714285
67,Spectre,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
69,Doom,5,5,4,1,5,0.14285714285714285,0.14285714285714285,0.8,0.2857142857142857
70,Ursa,8,10,5,3,8,0.22857142857142856,0.2857142857142857,0.625,0.5142857142857142
71,Spirit Breaker,3,28,2,1,3,0.08571428571428572,0.8,0.6666666666666666,0.8857142857142858
72,Gyrocopter,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
74,Invoker,8,10,8,0,8,0.22857142857142856,0.2857142857142857,1,0.5142857142857142
75,Silencer,4,11,2,2,4,0.11428571428571428,0.3142857142857143,0.5,0.42857142857142855
76,Outworld Destroyer,4,14,2,2,4,0.11428571428571428,0.4,0.5,0.5142857142857143
77,Lycan,2,2,2,0,2,0.05714285714285714,0.05714285714285714,1,0.11428571428571428
78,Brewmaster,2,2,1,1,2,0.05714285714285714,0.05714285714285714,0.5,0.11428571428571428
80,Lone Druid,0,3,0,0,0,0,0.08571428571428572,,0.08571428571428572
81,Chaos Knight,1,0,0,1,1,0.02857142857142857,0,0,0.02857142857142857
83,Treant Protector,2,1,2,0,2,0.05714285714285714,0.02857142857142857,1,0.08571428571428572
84,Ogre Magi,4,0,2,2,4,0.11428571428571428,0,0.5,0.11428571428571428
85,Undying,4,1,2,2,4,0.11428571428571428,0.02857142857142857,0.5,0.14285714285714285
86,Rubick,9,20,4,5,9,0.2571428571428571,0.5714285714285714,0.4444444444444444,0.8285714285714285
