# BPC league player×hero stats — league 19721
steam32,heroId,games,wins,kills,deaths,assists,heroDamage,goldPerMin,lastHits,maxKills,laneWins,laneDraws,laneLosses
73765124,27,1,1,3,5,26,10353,360,58,3,0,0,1
73765124,37,1,1,5,6,21,22423,355,77,5,1,0,0
73765124,87,3,2,15,32,104,41675,1001,101,6,3,0,0
84406528,63,1,0,6,3,12,14467,294,60,6,1,0,0
84406528,64,1,1,0,13,27,13626,310,50,0,0,1,0
92983874,26,1,1,3,5,11,7485,327,37,3,0,1,0
92983874,28,1,1,4,6,21,10697,433,147,4,1,0,0
92983874,87,1,0,2,18,11,8278,219,20,2,0,0,1
92983874,119,1,0,3,9,13,17724,290,39,3,0,0,1
92983874,121,1,0,2,8,21,7608,287,42,2,0,1,0
96848415,20,1,1,1,8,39,14649,362,63,1,0,0,1
96848415,26,2,1,7,27,39,30571,610,88,4,2,0,0
96848415,27,1,0,3,17,15,24613,309,85,3,0,1,0
104784070,6,1,1,10,4,14,30657,711,362,10,1,0,0
104784070,8,1,1,10,1,8,23746,931,502,10,1,0,0
104784070,15,1,1,11,2,11,26345,736,371,11,1,0,0
104784070,41,1,0,9,3,9,34835,782,685,9,0,1,0
104784070,95,1,0,13,7,3,25807,786,451,13,0,1,0
113216131,17,1,0,10,4,20,34121,517,269,10,0,1,0
113216131,39,1,0,10,7,7,26789,507,200,10,0,0,1
113216131,110,2,2,14,6,57,52421,904,213,9,1,1,0
113216131,123,1,0,3,11,12,19074,322,80,3,0,0,0
116523834,17,1,0,28,6,19,76861,855,636,28,1,0,0
116523834,52,1,1,13,7,19,27512,746,483,13,1,0,0
116523834,74,1,1,13,6,16,40597,623,299,13,0,1,0
116523834,76,1,1,7,2,15,33867,618,473,7,0,1,0
116523834,106,1,1,14,5,35,53965,537,351,14,1,0,0
120073059,3,1,0,2,11,17,12617,259,52,2,0,1,0
120073059,27,2,2,10,16,33,34362,767,125,6,2,0,0
120073059,29,1,0,0,7,10,10964,419,251,0,0,0,1
120073059,75,1,1,2,7,24,8646,306,35,2,0,1,0
121342098,51,1,1,2,7,31,10526,305,16,2,0,0,0
121342098,71,2,1,8,25,34,34950,709,158,6,0,2,0
121342098,75,1,1,7,8,26,14188,425,85,7,1,0,0
121342098,85,1,1,9,9,27,13948,429,127,9,0,1,0
121342098,128,1,0,1,17,10,15734,287,64,1,0,0,1
125710517,31,1,0,1,16,19,19267,251,78,1,0,1,0
125710517,83,2,2,5,15,57,15025,650,80,3,1,1,0
125710517,87,1,1,2,13,32,15334,250,23,2,0,1,0
125710517,121,1,0,7,16,11,13674,287,75,7,0,0,1
129128666,26,2,1,8,18,30,20139,581,41,5,2,0,0
129128666,31,2,1,8,21,37,36024,638,38,7,2,0,0
129128666,85,1,1,10,7,21,14920,405,37,10,0,1,0
131587889,2,1,1,2,8,14,18396,385,123,2,0,0,1
131587889,30,1,0,6,12,14,17140,306,36,6,0,0,1
131587889,77,2,2,23,8,33,38402,1137,396,12,0,1,1
131587889,137,1,0,6,9,13,21680,419,226,6,0,1,0
131653044,7,1,1,5,11,29,20620,488,213,5,0,1,0
131653044,26,1,0,2,21,13,13281,312,172,2,0,0,1
131653044,90,1,1,3,0,18,12948,641,361,3,0,0,1
131653044,110,1,1,7,7,32,34256,466,161,7,1,0,0
131653044,123,1,0,4,7,22,27022,365,158,4,0,1,0
137429226,13,1,1,15,4,14,37992,610,305,15,0,0,1
137429226,25,1,1,11,2,15,28291,658,337,11,1,0,0
137429226,47,1,0,4,9,7,23390,399,270,4,0,0,1
137429226,74,1,1,8,2,15,19161,589,190,8,1,0,0
137429226,98,1,0,15,11,14,27173,538,357,15,0,0,1
151519254,27,1,1,2,10,21,19529,359,52,2,0,1,0
151519254,110,1,0,3,13,14,22741,292,79,3,0,1,0
151548077,39,1,0,4,6,6,17307,437,274,4,0,0,1
151548077,88,1,1,8,8,19,30897,443,263,8,0,0,1
151548077,106,2,2,18,9,47,67148,1256,546,13,0,2,0
151548077,120,1,0,4,7,21,19733,482,291,4,1,0,0
153148404,19,2,1,14,18,39,68990,1103,725,10,0,1,1
153148404,54,2,0,17,14,20,57138,1154,932,10,0,1,1
153148404,70,1,0,4,5,2,11625,429,260,4,0,1,0
153148404,135,1,0,2,8,11,12099,403,180,2,0,0,1
155997245,60,2,1,25,12,31,59163,979,554,13,1,1,0
155997245,69,2,1,11,16,34,32488,1085,347,9,0,0,2
155997245,81,1,0,3,8,5,8654,358,123,3,0,0,1
155997245,108,1,0,5,8,18,48635,475,298,5,0,1,0
156497533,12,1,0,13,5,9,29318,600,356,13,0,1,0
156497533,41,1,0,3,3,13,8274,498,269,3,1,0,0
156497533,108,1,0,5,10,9,15050,364,120,5,0,0,1
156497533,145,1,1,18,3,12,22361,683,223,18,1,0,0
157563163,106,1,0,10,11,5,24189,542,185,10,0,0,0
158599449,8,1,0,7,6,11,24208,522,369,7,0,1,0
158599449,41,2,1,22,16,33,73127,1028,760,12,0,2,0
158599449,70,1,0,10,10,11,30567,483,342,10,0,0,1
163314072,11,1,0,11,12,21,48051,618,576,11,0,1,0
163314072,27,1,1,5,14,33,14346,351,63,5,0,1,0
163314072,84,1,0,3,13,17,20732,304,37,3,0,0,1
163314072,100,1,0,2,14,18,9734,239,30,2,0,1,0
163314072,101,1,0,7,13,16,21651,344,72,7,1,0,0
164611222,36,2,0,24,15,28,108977,1401,947,15,2,0,0
164611222,39,1,1,18,4,20,71306,916,629,18,1,0,0
164611222,60,1,0,15,9,21,39752,546,234,15,0,1,0
164611222,111,1,0,4,14,29,17021,366,105,4,0,1,0
174654590,20,1,0,4,8,14,10743,266,29,4,0,0,1
174654590,51,1,1,2,6,21,13161,323,23,2,0,0,1
175352420,96,1,0,5,11,17,13760,449,239,5,0,0,1
175693226,20,1,0,1,8,6,7157,218,28,1,0,1,0
175693226,30,2,1,8,22,43,58008,628,67,8,0,2,0
175693226,85,1,0,7,8,21,9432,308,29,7,0,0,1
175693226,107,1,0,7,10,21,17743,318,82,7,0,1,0
175693226,119,1,0,4,6,6,4997,233,21,4,0,0,1
183374427,4,1,1,14,9,21,44180,746,540,14,0,1,0
183374427,6,1,1,10,3,11,35284,664,426,10,1,0,0
183374427,54,1,0,2,4,12,20050,570,420,2,0,0,1
