displayName,steam32,teamName,teamKey,teamColor,avatarUrl
Master Instinct,164611222,Arcane Order,arcane_order,#83cc45,https://avatars.steamstatic.com/0ae21d835ba8993bccd1c70e142c04a871840409_full.jpg
God's Helper-,258566071,Arcane Order,arcane_order,#83cc45,https://avatars.steamstatic.com/72da6825b2e0a8a5d5958c7abe53bfe38585213b_full.jpg
SSS,163314072,Arcane Order,arcane_order,#83cc45,https://avatars.steamstatic.com/8c7abe3429155830c789f645d16e60b14600e0d9_full.jpg
Marlboro,158599449,Arcane Order,arcane_order,#83cc45,https://avatars.steamstatic.com/c7ff7424051077b84c3c71c530163a519dd95228_full.jpg
GodX カール,233614633,Arcane Order,arcane_order,#83cc45,https://avatars.steamstatic.com/a73955f5d746e6e266b5170c2eed3047928ff0b7_full.jpg
TamBamGOD,329866715,Arrise Corp,arrise_corp,#b25ce0,https://avatars.steamstatic.com/585b38bc737d9a6a5d960178b6b7026a9d7b2279_full.jpg
r3ciprocal,320180936,Arrise Corp,arrise_corp,#b25ce0,https://avatars.steamstatic.com/b1d94465e98ff44d0f605795fae88fdbd3558ca9_full.jpg
Repredetta97,151548077,Arrise Corp,arrise_corp,#b25ce0,https://avatars.steamstatic.com/5aaedc028f497b047cdbf3a1689ccda1c62b12db_full.jpg
shaidota,852647381,Arrise Corp,arrise_corp,#b25ce0,https://avatars.steamstatic.com/04ecdab6889443145feab0e163049bac34c18099_full.jpg
GG,389555066,Arrise Corp,arrise_corp,#b25ce0,https://avatars.steamstatic.com/b21553d8efbf511e24e8bcbceeb70bcd3954b441_full.jpg
HUR7LOCkER,861335657,Ashborn,ashborn,#db8339,https://avatars.steamstatic.com/5f4c6c32f1d0846c604fdcb7de1ea69e14816c0a_full.jpg
sugimoto,367563618,Ashborn,ashborn,#db8339,https://avatars.steamstatic.com/db29a098e7e959a41f7b63dfea90916bf4b2a693_full.jpg
alferno,384213851,Ashborn,ashborn,#db8339,https://avatars.steamstatic.com/43b37b323147bfd12f7ef41a8a9f40cfa384f57e_full.jpg
MYM | LUCKY13,151519254,Ashborn,ashborn,#db8339,https://avatars.steamstatic.com/b607fa131783a35deb991c8919c12c22a16919b7_full.jpg
[V]Engeance,129128666,Ashborn,ashborn,#db8339,https://avatars.steamstatic.com/898230bbfe6b653e6dc74fd82806ec9d10b7a94e_full.jpg
SUBVERSION,393400421,Chaos Rift,chaos_rift,#39a5db,https://avatars.steamstatic.com/7879a6ce5726535e47a25614138e136e83699c3f_full.jpg
Xx Washroom xX,155997245,Chaos Rift,chaos_rift,#39a5db,https://avatars.steamstatic.com/ca71e60630c7c9ef0ae896e1709f4fa3161687fe_full.jpg
Senor Pink,378183228,Chaos Rift,chaos_rift,#39a5db,https://avatars.steamstatic.com/624abeb59c027270f6de82ff8998caeb47512133_full.jpg
Scapular1s,96848415,Chaos Rift,chaos_rift,#39a5db,https://avatars.steamstatic.com/2216135c23a3a01018a197e8198bc5cb5521e8ef_full.jpg
Roronoa Zoro,377904244,Chaos Rift,chaos_rift,#39a5db,https://avatars.steamstatic.com/d30daa776ee29ca2630f29bcd22084b1000a65e7_full.jpg
Zapheto,113216131,Crimson Veil,crimson_veil,#d92b2b,https://avatars.steamstatic.com/240793c6f565558a83a1f99f8dc058fceb1a560d_full.jpg
Phola,156497533,Crimson Veil,crimson_veil,#d92b2b,https://avatars.steamstatic.com/366ea56609a85099cd9ab65251474f6b714960e2_full.jpg
RagnaR,92983874,Crimson Veil,crimson_veil,#d92b2b,https://avatars.steamstatic.com/97caee00eb9e2fd9f78eaf034b7f9f4d2fd9210d_full.jpg
Pero,367730370,Crimson Veil,crimson_veil,#d92b2b,https://avatars.steamstatic.com/d48de441c4eb7d4eb3862a4eb83fd91f5ca7de11_full.jpg
gurjarkage,195002259,Crimson Veil,crimson_veil,#d92b2b,https://avatars.steamstatic.com/92aa76501234c002297c2276b6a19244cb26bb38_full.jpg
SQueEZee,365812035,Emberfall,emberfall,#e09b48,https://avatars.steamstatic.com/689c8a630bd0ae986058b449d2f9228f28cdb3ac_full.jpg
Shiro,131653044,Emberfall,emberfall,#e09b48,https://avatars.steamstatic.com/9d92e9bafdde7697bcae79eab1538c272e16e3c0_full.jpg
NJ,300437831,Emberfall,emberfall,#e09b48,https://avatars.steamstatic.com/08854673565dc22722febf88971cbfb5db2c2e9e_full.jpg
Raiden,193248854,Emberfall,emberfall,#e09b48,https://avatars.steamstatic.com/84f436ee143155b6276e3043fb66b549b35f8ea2_full.jpg
voidsilverscar,125710517,Emberfall,emberfall,#e09b48,https://avatars.steamstatic.com/d791839edc81a4ef114967c41f25595851d760c3_full.jpg
